formula,space_group,formation_energy_value,formation_energy_value_per_atom
Ac3Fe,Fm-3m,0.4907285156517793,1.0493801303382402
Ac3I,Pm-3m,-0.3486957285467654,-0.6804871246925892
Ac3Yb,Fm-3m,-0.0994408885937152,-0.1668281628831096
Ac4Bi6,R-3c,-0.8646419448931443,-0.8503031856278328
Ac4Br6,R-3c,-3.380996324752391,-2.9245625717993553
Ac4I6,R-3c,-2.6449925247784023,-2.317866312093937
AcAl3,I4/mmm,-0.1620325847144498,-0.2958157711210354
AcBi,P-6m2,-0.3546768554865901,-1.1309457490417032
AcBi3,Pm-3m,-0.6748110680519828,-1.35253853501605
AcBr,P-6m2,-0.7325733282337579,-2.68846743968841
AcEu,P-6m2,-0.1574938480916325,-0.3182448290993427
AcK,P-6m2,-0.0209792409835974,0.2444078469502021
AcMn,P4/mmm,0.02561891013616675,0.436464762923652
AcNa,Pm-3m,-0.033240406223735,0.1938727607788773
AcNb,Fm-3m,0.520320083464741,2.475403634848873
AcP,Pm-3m,-0.63431554422995,-2.283492424313761
AcPa,Fm-3m,0.3316508493966118,1.6977927133110664
AcPb,P-6m2,-0.2591273631492475,-0.737133110982864
AcPd,P-6m2,-0.2831305218156189,-0.8360634873241127
AcRb,Fm-3m,0.2928202197507541,1.5377500765136694
AcSb,Fm-3m,-0.7472970310890699,-2.7491520139504413
AcSm,Fm-3m,0.0190588657596585,0.4094271689134729
AcSm,P4/mmm,-0.2821342130685859,-0.831957144460407
AcSn,P4/mmm,-0.4641683248956569,-1.5822210343220156
AcTh3,Pm-3m,-0.0460345707248792,-0.0567695826936915
AcV,Pm-3m,0.1588215555485679,0.9854670014815712
AcV3,I4/mmm,0.7018297919872137,1.4844130567180849
Ag12Br12,Pbcm,-1.9549403238360352,-0.8773335625520563
Ag12P17,I-43m,0.6296776478363919,-0.0353140481239008
Ag14Ca4,Cmcm,-1.2063920061702975,-0.742086483622561
Ag14Yb4,Cmcm,-1.472876532948432,-0.8641232672425614
Ag24Al5,I-43m,0.2968572413534431,-0.1299166780212944
Ag2Al,I4/mmm,-0.1831046166621501,-0.36742739153311477
Ag2Al2,I4_1/amd,-0.1503902434709575,-0.2718234870904009
Ag2Al2,P4/nmm,-0.1541468101478095,-0.2795649381272728
Ag2Al3,I4/mmm,-0.1465869262241075,-0.2621245654728341
Ag2Al3,Immm,-0.176337640833396,-0.311172266796269
Ag2Al4,Fd-3m,0.1103125720489643,0.0920581249931971
Ag2Al4,I4/mcm,-0.08135880236651755,-0.17127001261193375
Ag2Al4,I4_1/amd,0.1748485233978647,0.1807209831226716
Ag2Al6,I4/mmm,-0.0819348401903617,-0.1927160659255584
Ag2Au2,Cmme,-0.1365847531993519,-0.2433734325136491
Ag2Ba2,Cmcm,-0.385557734100345,-0.7564515453089893
Ag2Ca,I4/mmm,-0.3933913509986705,-0.7159487059936827
Ag2Ca4,I4/mcm,-0.4722349077160889,-0.7082760061774269
Ag2Cu,I4/mmm,-0.09171313774285,-0.1163106245125934
Ag2Cu,P-3m1,-0.024492220783569635,0.06839258351706325
Ag2Cu2,P-3m1,-0.0447345019365863,-0.0540904291647119
Ag2Cu3,R-3m,-0.0155943529897217,-0.0461672450532964
Ag2Ge2,Cmcm,0.02530752870886675,0.09025066668380985
Ag2Ge2,Cmme,0.030796039895519,0.1015612713587144
Ag2Ge2,Pmmn,0.0120774877184024,0.0629864854902218
Ag2Ge2,R-3m,0.1158724776536316,0.276884946925104
Ag2Ge4,Pnnm,0.25199237760592436,0.2867052362133577
Ag2Ge6,Cmcm,0.3412759258079106,0.2433557125205777
Ag2In2,P4/nmm,-0.1237026511603936,-0.2168262763561139
Ag2In4,I4/mcm,-0.1908625837803325,-0.3217120225800643
Ag2Ir4,Fd-3m,0.5965142237266599,0.7600273291963089
Ag2K,P-3m1,-0.0109913450790209,0.1054889988389536
Ag2K,P6/mmm,-0.0537018559769123,-0.1332734562308393
Ag2K2,P-3m1,0.0097336241183884,0.0581563022784013
Ag2K2,R-3m,0.04440011740802575,-0.06256610553475275
Ag2Mn,I4/mmm,0.0062215743978037506,0.15278501309671175
Ag2Mn,Immm,0.1275788467261061,0.1157794342809085
Ag2Mn2,P4/nmm,0.10705319805889786,0.25871036703974754
Ag2Mo2,Pmma,0.3115336888586825,0.680099322352689
Ag2Na,Immm,-0.1581635633978546,-0.276788401798981
Ag2Na4,I4/mcm,-0.21669016200426017,-0.3571952974994324
Ag2Na4,Pnnm,-0.0267211572766788,-0.09620596421913816
Ag2Nb,Immm,0.2725194641983137,0.3149064190937813
Ag2Nb2,Cmcm,0.0859424448836879,0.2152057852990796
Ag2Nb4,C2/m,0.1355248531239051,0.1266960725765947
Ag2Nb4,Cmcm,0.251792005266884,0.2864299542364429
Ag2Nb4,Pnnm,0.6124570674421713,0.7819304399583519
Ag2P2,Imma,0.0483155840018673,0.137665167430451
Ag2Pb,P-3m1,-0.06542748593214905,-0.04408542387261985
Ag2Pb2,P-3m1,-0.0277999703792322,-0.0191921142508717
Ag2Pb2,R-3m,0.1236270700194606,0.2928654424879492
Ag2Sn,I4/mmm,-0.13987867020459294,-0.24865526907508104
Ag2Sn2,P4/nmm,-0.12960147911009814,-0.22898245290662217
Ag2Sr,Fm-3m,-0.0552731305330534,-0.016184257055417
Ag2Sr,I4/mmm,-0.2706991971973395,-0.6081114042290756
Ag2Ta4,Fd-3m,0.6022575342267106,0.7679177889077732
Ag3Al,P4/mmm,-0.1760470726719001,-0.3246965235905614
Ag3Al,Pm-3m,-0.1808609441912857,-0.3346168454884134
Ag3Al5,C2/m,-0.1589480092627005,-0.2720695991985867
Ag3Al5,P1,-0.15096524307902132,-0.2638442435925553
Ag3Au,Cmmm,-0.1699262483984474,-0.3120828618365423
Ag3Br,Imm2,-0.0024261707029143,0.0330976611506978
Ag3Br,Immm,-0.0239967501206927,-0.0113545205259028
Ag3Br,P4/mmm,-0.183179718678766,-0.3393953256019141
Ag3Ca,P4/mmm,-0.2823032864715521,-0.5436670217217753
Ag3Cu,P4/mmm,-0.0396725828127921,-0.0436589361498464
Ag3Ge,Imm2,-0.0647792590474274,-0.0953982293631644
Ag3Ge,Pmmm,-0.0714787243991523,-0.1092043420865674
Ag3Ge,R-3m,-0.0403504010515113,-0.0450557692579281
Ag3Ge2,R-3m,-0.0036247390198640996,-0.026433868606362248
Ag3In,P4/mmm,-0.1371334799966373,-0.2445042367823395
Ag3K,I4/mmm,0.0433129721278778,0.1273558935081742
Ag3K,Immm,-0.0047583824799741,0.0282914897626114
Ag3K2,P-3m1,0.2741760179308463,0.4315547455591805
Ag3K2,R-3m,-0.0359751525540605,-0.0797674924050824
Ag3Mn,I4/mmm,-0.0044839975325965,0.0288569363041215
Ag3Mn,P4/mmm,0.0619406490703017,0.16574340566629392
Ag3Mo,P4/mmm,0.1338320345803211,0.3138956118624798
Ag3Nb3,Cm,0.1681581308617418,0.1715293726813254
Ag3Ni,Pm-3m,0.0022656278018786,0.0427664176307933
Ag3Ni,Pmm2,0.0294695902867376,0.0988277528077102
Ag3P,C2/m,0.0136031154976481,0.0661304660899271
Ag3P,Pm-3m,0.0082243928743362,0.0550461113023854
Ag3Pb,Imm2,-0.0564438654091355,-0.0782208311496538
Ag3Pt9,Immm,-0.0793425652797741,-0.2115900271308585
